stop_id,stop_name,stop_lat,stop_lon
31019074,Hyatt Regency,27.7194001,85.3541091
31019734,Lainchour Chowk Bus Stop,27.7170479,85.3160463
31147572,Airport Bus Station,27.7007168,85.3537173
31148719,Dillibazaar stop,27.7053698,85.3267594
31150643,Old Baneshwor,27.7015201,85.3402035
31150664,Sinamangal/Ring Road Stop सिनामंगल,27.6952641,85.3550236
31151483,Chabahil चाबाहील,27.7166411,85.3463953
31152086,Samakhusi Stop,27.7356178,85.3208814
31228768,Koteshwor Stop,27.6788418,85.3496516
31229796,Kamal Binayak,27.6773274,85.4369166
31230058,Chunudevi,27.6670973,85.4167103
31230194,Chyamasingh,27.6734269,85.4383679
31230922,Gairigaun Stop,27.6872755,85.3505597
31232256,Bir Hospital,27.7057227,85.3140743
31303568,Balaju,27.7270610,85.3046132
36470985,Thankot,27.7066268,85.2057400
36673505,Kathmandu Fun Valley,27.6463985,85.4658898
38922344,Kariboat stop,27.7141933,85.3547851
253198544,attarkhel,27.7345484,85.3824524
268116939,Sorhakhutte,27.7189672,85.3096191
268307740,Gairidhara,27.7177740,85.3279207
268307757,Tangal,27.7171221,85.3303977
268307761,Police Headquarter Stop,27.7165627,85.3302597
268307973,Batuk Bhairav,27.6644749,85.3240029
268545728,Shobhabhagwati,27.7182038,85.3121379
296340520,Dhulikhel Stop,27.6184151,85.5540152
313140515,Naxal Bhagwati,27.7126487,85.3287184
313544725,Kalanki,27.6933793,85.2817107
313917671,Jamal,27.7088290,85.3152920
314528404,Kalimati,27.6984303,85.2994397
317532028,Thapathali,27.6917671,85.3180161
336240765,Chobhar Gate,27.6704494,85.2906221
356102511,Nikap,27.6860909,85.2622904
356102517,Sataungal,27.6869877,85.2506003
356102531,Thankot Checkpost,27.6890018,85.2272286
360455539,Lagankhel Stop,27.6670530,85.3225628
360464983,Khasibazaar,27.6893141,85.2841807
360695713,Apex College Stop,27.6990701,85.3383269
360695719,SchEMS,27.6943342,85.3371545
360702826,saat tale chowk,27.7269595,85.3504840
360705527,Jorpati,27.7217627,85.3726321
360728723,Gokarna Bus Stop,27.7403061,85.3907196
360732075,Sundarijal,27.7575653,85.4193939
360743086,Shivapuri Park Stop,27.7910669,85.3704099
425307054,Jawalakhel,27.6731525,85.3136516
