stop_id,stop_name,stop_lat,stop_lon
31019734,Lainchour Chowk Bus Stop,27.7170479,85.3160463
31150618,KMC stop,27.6958336,85.3527914
31150627,Sinamangal,27.6984315,85.3485208
31150643,Old Baneshwor,27.7015201,85.3402035
31150664,Sinamangal/Ring Road Stop सिनामंगल,27.6952641,85.3550236
31228768,Koteshwor Stop,27.6788418,85.3496516
31230922,Gairigaun Stop,27.6872755,85.3505597
31232256,Bir Hospital,27.7057227,85.3140743
31303568,Balaju,27.7270610,85.3046132
253205163,Mangalbazar,27.6726408,85.3249900
268116939,Sorhakhutte,27.7189672,85.3096191
268307973,Batuk Bhairav,27.6644749,85.3240029
268545728,Shobhabhagwati,27.7182038,85.3121379
313917671,Jamal,27.7088290,85.3152920
314528404,Kalimati,27.6984303,85.2994397
317532028,Thapathali,27.6917671,85.3180161
317532042,UN Stop,27.6780952,85.3164183
360455539,Lagankhel Stop,27.6670530,85.3225628
360695713,Apex College Stop,27.6990701,85.3383269
360695719,SchEMS,27.6943342,85.3371545
415553223,Singha Durbar East Stop,27.6966083,85.3281501
425227547,Mahapal,27.6735497,85.3238901
425227584,Gahabahal,27.6742970,85.3210465
425256487,Natole,27.6760652,85.3182015
425307054,Jawalakhel,27.6731525,85.3136516
564118342,Balkhu,27.6849952,85.2982204
670651214,Kupondole stop,27.6880045,85.3162481
725879816,Jwagal,27.6855933,85.3181062
728153897,ASCOL Stop,27.7173801,85.3148107
943246313,Ratna Park,27.7067052,85.3152489
977642700,Shahid Gate,27.6997186,85.3147572
1273357490,Kamaladi Road (कमलादी) stop,27.7079971,85.3212825
1273477941,Lalitpur Industrial Estate,27.6624613,85.3239461
1273477942,Kumaripati,27.6708396,85.3200979
1273478102,Patan Hospital,27.6684201,85.3216899
1274038133,Maitidevi Temple stop,27.7064123,85.3337332
1274183622,BaidyaKhana Stop,27.7003653,85.3245177
1274184084,Purano Bus Park,27.7036535,85.3165165
1279198122,Krishna Pauroti Stop,27.7103235,85.3222860
1280128354,Balkumari Stop,27.6736692,85.3424812
1281218812,Maiti Devi chowk,27.7039436,85.3326817
1281221676,Thapagaun Stop,27.6911328,85.3340314
1281221704,Ratna Rajya Stop,27.6956673,85.3376196
1317084932,Milan Chowk Stop,27.6951694,85.3406376
1317084963,Sangam Chowk Stop,27.6931956,85.3405019
1394568906,Bhimsengola stop,27.7003775,85.3432561
1399427366,Tempo Stop Near Old Baneshwar,27.7006690,85.3396774
1489359102,Gwarko Chowk Stop,27.6666661,85.3321608
1489359269,B & B Hospital/KCM Stop,27.6642208,85.3301515
1490234323,Ciy Center Stop,27.7097907,85.3270373
1667090463,Satdobato Chowk Stop,27.6587797,85.3247842
1805062851,Singha Durbar West Stop,27.6965549,85.3212565
1805062970,Bhadrakali,27.6993518,85.3177129
1805074834,Maitighar,27.6940159,85.3209300
1805074877,Singha Durbar West Stop,27.6966260,85.3211991
1805087571,Naya Baneshwor Bus Station,27.6885732,85.3347414
1805087604,Buddhanagar Stop,27.6903197,85.3287620
1806066068,Kantipath,27.7089122,85.3146069
1806066069,Ghantaghar (घण्टाघर) stop,27.7080425,85.3171161
1817037493,Tinkune Stop,27.6861178,85.3456043
1817037501,Shantinagar Stop,27.6870857,85.3413721
1817322707,Maitighar Stop--South,27.6941121,85.3193084
1826042154,Gyaneshwor Chowk,27.7086742,85.3318478
1829640344,Saughal,27.6704790,85.3272192
1829640347,Tyogal,27.6686312,85.3298476
1830616461,Sundhara Stop,27.7005417,85.3135033
1830679630,Anamnagar Stop,27.6994877,85.3286001
1830679633,Bhrikuti Mandap Stop,27.7021221,85.3187380
1830679636,Hanumanthan Stop,27.6935216,85.3276028
1830679638,Kanya Mandir School,27.7017187,85.3220253
1830679639,Naya Baneshwor Tempo Stop,27.6903727,85.3358296
1830679642,Tourism Board Stop,27.7023323,85.3167996
1830679652,New Plaza Stop,27.7009514,85.3229183
1830711730,Bhadrakali,27.6991375,85.3183070
1845683513,ShivaDarshan Hall Stop,27.6923364,85.3362165
1845868815,Bijulibazar Stop,27.6923320,85.3296148
1847670813,Jawlakhel Stop,27.6725769,85.3141739
1872733915,Minbhawan Stop,27.6877471,85.3384492
1880066206,UN Stop,27.6780946,85.3163291
1882490078,Sankhamul Stop,27.6811284,85.3315875
1882601487,New Baneshwor,27.6903265,85.3359541
1950338924,KattyaniChowk Stop,27.6953656,85.3444660
2373352536,Tripureshwor,27.6934485,85.3145773
2396022575,NAC stop,27.7022101,85.3136379
